dates,actual_value,expected_value,number_of_forecaster
2014-01-21,1.0,0.3,15.0
2014-02-14,-0.9,0.0,17.0
2014-03-18,1.5,0.55,18.0
2014-04-15,1.4,1.0,15.0
2014-05-15,0.4,-0.3,15.0
2014-06-13,-0.1,0.5,15.0
2014-07-16,1.6,1.0,13.0
2014-08-15,0.6,0.4,15.0
2014-09-16,2.5,1.1,16.0
2014-10-16,-3.3,-2.0,15.0
2014-11-14,2.1,1.0,15.0
2014-12-16,-0.6,-0.3,15.0
2015-01-20,-1.4,-0.7,15.0
2015-02-13,1.7,0.9,15.0
2015-03-17,-1.7,-1.15,18.0
2015-04-15,-1.7,0.05,16.0
2015-05-15,2.9,1.0,16.0
2015-06-15,-2.1,-0.5,18.0
2015-07-15,0.1,0.3,17.0
2015-08-14,1.2,2.7,17.0
2015-09-16,1.7,1.1,15.0
2015-10-16,-0.2,-1.0,18.0
2015-11-16,-1.5,0.2,17.0
2015-12-15,-1.1,-0.5,19.0
2016-01-20,1.0,0.5,17.0
2016-02-16,1.2,0.5,17.0
2016-03-16,2.3,0.5,16.0
2016-04-15,-3.3,-1.5,17.0
2016-05-17,-0.9,-1.9,16.0
2016-06-15,1.0,0.6,14.0
2016-07-15,-1.0,-0.8,15.0
2016-08-16,0.8,0.5,14.0
2016-09-16,0.1,1.0,12.0
2016-10-18,0.9,0.25,14.0
2016-11-16,0.3,0.05,16.0
2016-12-15,-0.8,0.4,14.0
2017-01-19,1.5,1.0,14.0
2017-02-15,2.3,0.3,12.0
2017-03-17,0.6,-0.3,11.0
2017-04-13,-0.2,-0.7,14.0
2017-05-17,1.0,1.25,10.0
2017-06-15,1.1,0.9,12.0
2017-07-19,1.1,0.8,12.0
2017-08-17,-1.8,-1.0,13.0
2017-09-19,-2.6,-1.85,12.0
2017-10-18,1.6,-0.3,13.0
2017-11-16,0.5,-0.5,13.0
2017-12-15,-0.4,0.95,10.0
2018-01-19,3.4,1.95,10.0
2018-02-16,-0.3,0.3,11.0
2018-03-16,-1.0,-0.85,12.0
2018-04-17,1.9,0.8,14.0
2018-05-16,1.4,0.9,13.0
2018-06-15,-1.3,0.6,15.0
2018-07-17,1.4,0.4,12.0
2018-08-16,1.1,1.0,12.0
2018-09-18,0.9,0.6,13.0
2018-10-17,-0.4,-0.6,12.0
2018-11-16,0.2,0.1,11.0
2018-12-18,-0.1,0.4,13.0
2019-01-22,-1.4,-1.0,14.0
2019-02-14,-1.3,0.4,13.0
2019-03-15,1.0,0.4,13.0
2019-04-16,-0.2,-0.1,13.0
2019-05-16,2.1,1.5,13.0
2019-06-18,-0.6,0.35,10.0
2019-07-17,1.6,2.0,12.0
2019-08-20,-1.2,-1.8,15.0
2019-09-17,-1.3,-0.13,11.0
2019-10-17,0.8,0.65,14.0
2019-11-19,-0.2,-0.5,13.0
2019-12-17,-0.7,0.0,12.0
2020-01-21,-0.6,-0.5,14.0
2020-02-18,-0.7,0.7,13.0
2020-03-17,-0.2,-0.6,10.0
2020-04-16,0.5,0.05,12.0
2020-05-14,-9.2,-4.5,12.0
2020-06-15,-28.5,-20.0,11.0
2020-07-15,10.7,9.75,16.0
2020-08-14,20.7,16.4,12.0
2020-09-15,7.0,9.0,15.0
2020-10-16,-2.0,-1.35,10.0
2020-11-16,1.5,1.5,13.0
2020-12-15,0.3,0.6,12.0
2021-01-19,-0.6,-0.35,12.0
2021-02-15,0.9,0.6,5.0
2021-03-15,3.1,2.5,12.0
2021-04-15,-1.6,-1.0,10.0
2021-05-14,3.5,3.5,13.0
2021-06-14,-2.1,-1.1,9.0
2021-07-14,-0.6,1.0,12.0
2021-08-16,2.1,2.35,10.0
2021-09-14,-1.5,-1.1,10.0
2021-10-14,0.5,0.25,10.0
2021-11-15,-3.0,-3.1,10.0
2021-12-15,4.3,4.1,11.0
2022-01-17,2.6,2.95,10.0
2022-02-16,0.7,0.8,13.0
2022-03-15,0.6,1.2,13.0
2022-04-14,4.2,3.7,11.0
2022-05-16,2.5,2.0,11.0
2022-06-14,1.7,1.66,7.0
2022-07-14,-2.0,-2.4,13.0
2022-08-15,-0.8,-0.5,11.0
